NC_025351.1_orf:2_3	f760a095190c90758c0a8aa16ad7c67e	361	Pfam	PF00661	Viral matrix protein	28	358	2.0E-127	T	09-04-2018	IPR000982	Viral matrix protein
NC_002551.1_orf:1_1	5991c9dd1efdd96cc22aa2489c66feaf	1882	Pfam	PF00910	RNA helicase	587	683	4.7E-22	T	09-04-2018	IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus
NC_002551.1_orf:1_1	5991c9dd1efdd96cc22aa2489c66feaf	1882	Pfam	PF00680	RNA dependent RNA polymerase	1381	1849	2.3E-149	T	09-04-2018	IPR001205	RNA-directed RNA polymerase,  C-terminal domain
NC_002551.1_orf:1_1	5991c9dd1efdd96cc22aa2489c66feaf	1882	Pfam	PF03510	2C endopeptidase (C24) cysteine protease family	1208	1312	1.0E-43	T	09-04-2018	IPR000317	Peptidase C24, Calicivirus polyprotein Orf1
NC_031089.1_orf:0_3	571bca4f23826ea8d74e962e0435ec6c	308	Pfam	PF08358	Carlavirus coat	60	111	7.0E-23	T	09-04-2018	IPR013569	Carlavirus coat
NC_031089.1_orf:0_3	571bca4f23826ea8d74e962e0435ec6c	308	Pfam	PF00286	Viral coat protein	120	259	2.6E-43	T	09-04-2018	IPR000052	Potex/carlavirus coat protein
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF07652	Flavivirus DEAD domain	1260	1373	2.3E-8	T	09-04-2018	IPR011492	DEAD box, Flavivirus
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF00863	Peptidase family C4	2046	2278	1.7E-54	T	09-04-2018	IPR001730	Potyvirus NIa protease (NIa-pro) domain
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF13608	Protein P3 of Potyviral polyprotein	775	1210	3.5E-55	T	09-04-2018	fuck	EMBL-EBI
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF00271	Helicase conserved C-terminal domain	1406	1518	1.8E-9	T	09-04-2018	IPR001650	Helicase, C-terminal
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF00680	RNA dependent RNA polymerase	2311	2773	5.5E-108	T	09-04-2018	IPR001205	RNA-directed RNA polymerase,  C-terminal domain
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF08440	Potyviridae polyprotein	1544	1826	1.8E-74	T	09-04-2018	IPR013648	Polyprotein, Potyviridae
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF00851	Helper component proteinase	321	758	5.2E-124	T	09-04-2018	IPR001456	Helper component proteinase
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF01577	Potyvirus P1 protease	74	300	2.4E-18	T	09-04-2018	IPR002540	Peptidase S30, polyprotein P1, potyvirus
NC_009744.1_orf:1_1	7dd1ce5ae18b450b04db5552590202be	3078	Pfam	PF00767	Potyvirus coat protein	2843	3076	7.5E-95	T	09-04-2018	IPR001592	Potyvirus coat protein
NC_019843.3_orf:2_11	ba0a70cc57b979d84d6dac8a0bd8e2bf	1366	Pfam	PF01601	Coronavirus S2 glycoprotein	783	1364	2.0E-171	T	09-04-2018	IPR002552	Coronavirus S2 glycoprotein
NC_019843.3_orf:2_11	ba0a70cc57b979d84d6dac8a0bd8e2bf	1366	Pfam	PF09408	Spike receptor binding domain	395	516	4.8E-19	T	09-04-2018	IPR018548	Spike receptor binding domain
NC_003043.1_orf:1_4	72a4d4ce4265d86be7a32be73ed7f4eb	561	Pfam	PF00523	Fusion glycoprotein F0	39	521	1.7E-128	T	09-04-2018	IPR000776	Precursor fusion glycoprotein F0, Paramyxoviridae
NC_011620.1_orf:0_3	8849bc9fd0b1b69f43e8c23a500cf1c6	244	Pfam	PF00286	Viral coat protein	57	195	4.3E-60	T	09-04-2018	IPR000052	Potex/carlavirus coat protein
NC_003461.1_orf:2_6	c0a523893eb271dc884e3f1fe10d6eaa	591	Pfam	PF00423	Haemagglutinin-neuraminidase	61	587	5.4E-185	T	09-04-2018	IPR000665	Haemagglutinin/haemagglutinin-neuraminidase, paramyxovirus
NC_019712.1_orf:1_1	fc9cc10e3ac7c7a81d6560f0b2830d24	1948	Pfam	PF00910	RNA helicase	638	734	4.9E-23	T	09-04-2018	IPR000605	Helicase, superfamily 3, single-stranded DNA/RNA virus
